LONGITUDE,LATITUDE,BUILDINGID,x,y,lat,long
-7628.134500000626,4864977.021200001,0,39.99356351455464,-0.06985606522973065,39.99335548829397,-0.06856179493424741
-7611.129000000656,4864977.622000001,0,39.99358071524936,-0.06964664270189402,39.99336752878028,-0.06840263381309157
-7601.616200000048,4864980.348899998,0,39.9936117313828,-0.06953174914975069,39.99338924007369,-0.06831531471346264
-7596.2032000012705,4864981.900200002,0,39.993629376923074,-0.06946637169432979,39.99340159195188,-0.06826562784734275
-7594.264100000262,4864982.456100002,0,39.99363569966767,-0.06944295167352355,39.9934060178731,-0.06824782863153
-7587.102299999446,4864986.090999998,0,39.993673206267125,-0.06935794587399968,39.99343227249272,-0.06818322422389186
-7589.062399998307,4864985.529100001,0,39.99366681524722,-0.0693816195727317,39.99342779877878,-0.0682012162349282
-7602.096400000155,4864981.792999998,0,39.993624320090404,-0.06953904182177695,39.99339805216901,-0.06832085714420259
-7616.9461999982595,4864980.0132,0,39.99359806817999,-0.06972073241694954,39.993379675831726,-0.06845894199653377
-7616.688900001346,4864976.028099999,0,39.99356258625553,-0.06971379380255538,39.9933548384846,-0.06845366864959421
-7604.017799999566,4864981.242399998,0,39.993618057060125,-0.06956224826245094,39.993393668047815,-0.06833849403911482
-7594.736999999732,4864983.902400002,0,39.99364831314466,-0.06945015626434259,39.993414847306994,-0.06825330412055247
-7648.530400000513,4864942.806100003,0,39.993243157156925,-0.0700756243890508,39.99313123811558,-0.06872865989533072
-7643.117800001055,4864947.830799997,0,39.993291884560506,-0.0700135309905292,39.99316534729809,-0.0686814689124543
-7650.165600001811,4864937.056900002,0,39.99319057318219,-0.07009038955315905,39.99309442933326,-0.068739881420053
-7641.3297999985525,4864920.629500002,0,39.99304971600796,-0.06996577729503439,39.9929958293113,-0.06864517610387824
-7644.034899998456,4864930.066799998,0,39.993132285048205,-0.07000808823512727,39.99305362763947,-0.06867733241834884
-7646.286299999803,4864932.3486,0,39.993151138298416,-0.07003804283882875,39.99306682491462,-0.06870009791716197
